CatNo,LengthMax,LengthAxial,WidthMax,WidthBasal,WidthNeck,Thickness,DSA,PSA,WeightActual,Material,PointType1,PointType2,Source,Site,Area_Jennings,County
50,-17.2,-16.5,13,13,7.5,2.4,190,150,0.4,CCS,Desert Side Notched,Desert Side-notched,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
163,-27.3,-23.5,14.3,14.3,7.1,2.5,190,150,0.5,CCS,Desert Side Notched,Desert Side-notched,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
165,-31.1,-31.1,8,7.5,6.2,2.5,240,135,0.7,CCS,Desert Side Notched,Desert Side-notched,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
192,-21.3,-19.9,11.3,11.3,7.7,3.6,210,170,0.8,CCS,Desert Side Notched,Desert Side-notched,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
265,13.1,13.1,6.4,6.4,4.9,1.9,210,185,0.2,CCS,Desert Side Notched,Desert Side-notched,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
266,-25.6,-22.3,15.3,15.3,12.6,3.9,220,190,1.1,CCS,Desert Side Notched,Desert Side-notched,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
332,-26,-24.6,10,10,7.2,2.6,210,140,0.5,CCS,Desert Side Notched,Desert Side-notched,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
102,-27,-25,12.5,12,,3.1,,,0.6,Indeterminate,Cottonwood Triangular,Cottonwood,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
195,26.1,-26.1,-15.1,-15.1,,1.9,,,0.7,CCS,Cottonwood Triangular,Cottonwood,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
281,-23.5,-23.5,13,13,,2.1,,,0.5,CCS,Cottonwood Triangular,Cottonwood,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
–,-43,-43,21.3,8.9,7.3,3.2,110,100,1.9,Indeterminate,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
2,32.2,32.2,11.2,7.2,7.1,3,130,100,0.9,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
3,22.1,22.1,13.9,4.9,4.7,2.9,130,100,0.5,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
7,33.3,33.3,13.9,6.4,5.6,3.4,120,100,1.2,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
28,-22,-22,-20.5,8.6,7.3,2.7,130,100,0.6,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
42,28.5,28.5,-13.7,6.1,5.9,2.2,110,100,0.6,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
53,41.4,41.4,-19.1,6.1,6.6,4.2,130,100,2,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
77,33.3,33.3,12.6,7.1,6.4,2.4,160,100,0.8,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
90,-21.1,-21.1,13.5,7.4,6.6,2.7,120,100,0.4,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
103,-28.4,-28.4,14.5,8.4,5.9,2,160,120,0.5,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
117,-34.6,-34.6,16.1,6.5,5.4,3.1,110,100,1,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
120,-28.5,-28.5,16,6,5.2,3.7,110,100,0.9,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
128,-33.7,-33,17.2,7.8,6.6,2.9,110,100,1.1,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
135,-25.6,-25.6,12,6.4,5.4,2.3,140,110,0.5,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
138,-23.7,-23.7,17.6,8.9,6.6,2.8,170,120,0.6,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
144,-19.4,-19.4,12.3,6.4,6.2,3,120,100,0.5,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
146,28.2,28.2,12,5.8,4.6,3,230,90,0.7,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
154,-24.1,-24.1,-16.8,8,5.3,2.8,175,120,0.4,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
156,27.5,27.5,-15.2,7.7,7.4,3,170,100,1,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
173,24,24,16.6,7.1,5.9,3.1,140,110,0.9,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
181,-21.7,-21.7,15.2,8.1,7.2,2.3,120,110,0.4,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
217,-23.3,-23.3,14.3,-6.1,6.2,2.7,130,100,0.4,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
245,17.6,17.6,-11.4,7.1,5.6,2.7,190,110,0.4,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
